CMDLINE pytest
MEM 0.500000 1732988541.1913
MEM 17.351562 1732988541.2916
MEM 28.226562 1732988541.3919
MEM 36.089844 1732988541.4922
MEM 46.214844 1732988541.5926
MEM 54.464844 1732988541.6929
MEM 61.839844 1732988541.7933
MEM 62.339844 1732988541.8936
MEM 62.339844 1732988541.9939
MEM 62.339844 1732988542.0944
MEM 62.464844 1732988542.1947
MEM 62.464844 1732988542.2951
MEM 62.464844 1732988542.3955
MEM 62.464844 1732988542.4962
MEM 62.464844 1732988542.5965
MEM 62.464844 1732988542.6968
MEM 62.464844 1732988542.7972
MEM 62.714844 1732988542.8977
MEM 62.714844 1732988542.9980
MEM 62.714844 1732988543.0984
MEM 62.714844 1732988543.1987
MEM 62.714844 1732988543.2992
MEM 62.714844 1732988543.3996
MEM 62.714844 1732988543.4999
MEM 62.714844 1732988543.6001
MEM 62.714844 1732988543.7006
MEM 62.714844 1732988543.8010
MEM 62.714844 1732988543.9013
MEM 62.714844 1732988544.0016
MEM 62.714844 1732988544.1024
MEM 62.964844 1732988544.2027
MEM 62.964844 1732988544.3030
MEM 62.964844 1732988544.4033
MEM 62.964844 1732988544.5037
MEM 62.964844 1732988544.6041
MEM 62.964844 1732988544.7044
MEM 62.964844 1732988544.8050
MEM 63.089844 1732988544.9054
MEM 63.089844 1732988545.0058
MEM 63.089844 1732988545.1062
MEM 63.089844 1732988545.2066
MEM 63.089844 1732988545.3070
MEM 63.089844 1732988545.4073
MEM 63.089844 1732988545.5076
MEM 63.089844 1732988545.6080
MEM 63.089844 1732988545.7083
MEM 63.089844 1732988545.8087
MEM 63.089844 1732988545.9090
MEM 63.089844 1732988546.0094
MEM 63.089844 1732988546.1098
MEM 63.089844 1732988546.2102
MEM 63.089844 1732988546.3106
MEM 63.089844 1732988546.4109
MEM 63.089844 1732988546.5113
MEM 63.089844 1732988546.6117
MEM 63.089844 1732988546.7121
MEM 63.089844 1732988546.8124
MEM 63.089844 1732988546.9127
MEM 63.089844 1732988547.0130
MEM 63.089844 1732988547.1134
MEM 63.089844 1732988547.2137
MEM 63.089844 1732988547.3141
MEM 63.089844 1732988547.4144
MEM 63.089844 1732988547.5147
MEM 63.089844 1732988547.6151
MEM 63.089844 1732988547.7154
MEM 63.089844 1732988547.8157
MEM 63.089844 1732988547.9161
MEM 63.089844 1732988548.0164
MEM 63.089844 1732988548.1168
MEM 63.089844 1732988548.2171
MEM 63.089844 1732988548.3175
MEM 63.089844 1732988548.4178
MEM 63.089844 1732988548.5182
MEM 63.089844 1732988548.6186
MEM 63.589844 1732988548.7189
MEM 63.589844 1732988548.8192
